,Item Title,Item Price,Unnamed: 0,Unnamed: 0.1
0,Olympic Weight Plates Tri Grip 1.25kg to 25kg Set Home Gym Fitness Strength,£14.99,,
1,"SALE Bumper Rubber Weight Plates Olympic (2"") 5KG-25KG / 150KG Set | ",£79.99,,
2,Surreal Weighted Vest's In Various Weights - 5KG / 10KG / 15KG / 20KG / 25KG,£29.99,,
3,20kg Cast Iron Standard Weight Plates 4x5KG Home Gym Dumbbell Barbell ProPower,£10.00,,
4,Variety Of Used Weight Plates And Bars - From 2.5kg To 20 Kg,£62.00,,
0,ELEIKO SPORT WEIGHTLIFTING TRAINING DISC - BLACK **Used** 2 X 20kg Weight Plates,£180.00,0.0,
1,10 / 2.5 / 1.25KG Weight Plates Set for Gym Barbell Vinyl Standard Home Dumbbell,£2.20,1.0,
2,"Premium Colour Bumper Plates | Steel insert | 5kg-25kg, 60/100/110/150KG Sets",£44.99,2.0,
3,Olympic Rubber Weight Plate 10kg 15kg 20kg 25kg & 6FT Barbell (Individual),£24.99,3.0,
4,Crane Weight plates bundle 8x 1 kg,£15.00,4.0,
5,2 Jordan Fitness 10kg Urethane Olympic Discs Urethane 20kg,£40.00,0.0,0.0
6,"2"" TNP Rubber Encased Tri Grip OLYMPIC Barbell Weight Disc Plates Set range",£9.99,1.0,1.0
7,Hardcastle Weight Lifting Plates/Discs Gym Training Dumbbell/Bar Vinyl Weights,£8.99,2.0,2.0
8,"Iron Weight Plates Set 5KG 10KG 20KG 1"" barbell 6ft Dumbbell Lifting Training",£11.99,3.0,3.0
9,"Weight Plates Set 5KG 10KG 20KG Vinyl 1"" Standard Home Dumbbell Lifting Training",£9.99,4.0,4.0
10,"2 X 10kg Vinyl Coated 1"" Weight Plates 20kg Total Weights For Weightlifting Bar",£23.40,5.0,5.0
11,10kg/20kg Dumbells Pair of Gym Weights Barbell/Dumbbell Body Building Weight Set,£13.59,6.0,6.0
12,"2 x 20kg bumper plates, brand new pair of 20kg plates (2 X 20kg) `B`grade",£74.99,7.0,7.0
13,2 x 10kg 1 inch weight plates,£16.00,8.0,8.0
14,"Weight Plates Set Pair Cast Iron 2"" Hole Disc Dumbbell Olympic Barbell Weights",£17.99,9.0,9.0
15,Adjustable Dumbbells 20Kg 30Kg 50Kg Cast Iron Weights Barbell Set Dumbbells New,£25.99,10.0,10.0
16,"Olympic Plates Tri-grip Weight Rubber Cast Iron 2""  Weights Home 5kg x 4pc/20kg",£69.99,11.0,11.0
17,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£99.66,12.0,12.0
18,2x5/10/15/20kg 100kg Set 2'' Rubber Olympic Barbell Bumper Weight Plate,£29.99,13.0,13.0
19,"Cast Iron Weight Plates Set Pair 2"" Hole Disc Dumbbell Olympic Barbell Weights",£18.99,14.0,14.0
20," Rubber Bumper Weight Plates Hi Temp Pro Grade GYM CROSSFIT 2""",£40.00,15.0,15.0
21,"GymCo. Cast Iron Weight Plates 107.5 Kg 2 x 1.25kg,2.5kg,5kg,10kg,15kg and 20kg.",£10.00,16.0,16.0
22,Exersci Cast Iron Olympic weight plates 2 inch (Pair) 1.25 - 20kg,£16.99,17.0,17.0
23,5 kg Free Weights Plates for Standard 30mm Barbell Dumbbell Home Gym Lifting,£23.95,18.0,18.0
24,Bumper Weight Plates Black Olympic Size Rubber Crumb  5kg 10kg 15kg 20kg Gym ,£15.00,19.0,19.0
25,"Weight Plates Set 5KG 10KG 20KG Vinyl 1"" barbell 6ft Dumbbell Lifting Training",£10.99,20.0,20.0
26,Swiss Olympic Weight Plate Storage 300kg Weight Capacity Wall & Floor Mounted,£89.99,21.0,21.0
27,"Tri Grip Olympic Weight Plates Cast Iron Rubber Encased 2"" 2 inch Barbell Weight",£12.99,22.0,22.0
28,Cast Iron 0.5kg 1.25kg 2.5kg 5kg 10kg Disc 1” Weight Plates Barbell Dumbbell ,£8.99,23.0,23.0
29,2 x 20kg Pro Plates Weight Plates,£40.00,24.0,24.0
30,2x5/10/15/20kg 2'' Olympic Rubber Weight Barbell Bumper Plate Gym Home Workout,£29.99,25.0,25.0
31,SINGLE WEIDER 6KGS 'ONE-INCH' WEIGHT PLATE,£10.00,26.0,26.0
32,"Exersci Premium Black Bumper Plates 5kg-25kg, 100kg & 150kg Sets",£29.99,27.0,27.0
33,Weight Plates 1 inch Vinyl Dumbbell Plates Barbell Weight Set 2.5KG 5KG 10KG ,£18.95,28.0,28.0
34,MARCY OLYMPIC BUMPER PLATES 20KG PAIR,£60.00,29.0,29.0
35,4 x 5KG One Inch Iron Weight Plates,£15.00,30.0,30.0
36,"BlackBull Fitness® Rubber Bumper Weight Plates Hi Temp Grade GYM CROSSFIT 2"" ",£36.00,31.0,31.0
37,"Cast Iron Weight Plates Set Pair 2"" Hole Disc Dumbbell Olympic Barbell Weights",£21.99,32.0,32.0
38,Pair of 20kg weight plates Olympic style - good condition!,£25.00,33.0,33.0
39,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£108.66,34.0,34.0
40,Pair Body Sculpture 20kgs Cast Iron Vintage Weightlifting Weight Plates 1”,£40.00,35.0,35.0
41,20kg Cast Iron Weight Plate 2 inch,£16.00,36.0,36.0
42,20kg Cast Iron Weight Plate 2 inch,£16.00,37.0,37.0
43,2 x 20kg 2” Mirafit Olympic Rubber Bumper Plates,£70.00,38.0,38.0
44,"Cast Iron Weight Plates, 0.5kg to 20kg pairs, for 1"" Weight Lifting Bars",£9.49,39.0,39.0
45,Weights - Weight Plates Rubber Bumper Plates Olympic 5kg - 25kg -  MuscleSquad ,£40.00,40.0,40.0
46,2 X 20kg Olympic Black Bumper Plates Tufftech,£34.00,41.0,41.0
47,Body Rip 20kg Tri Grip Weight Plates (X2),£36.00,42.0,42.0
48,"120KG Olympic Tri-Grip Plate Set, Iron Weight Discs - plus 20kg Barbell",£113.11,43.0,43.0
49,"Cast Iron Weight Plates 1"" Hole Disc Dumbbell Barbell Weight Fitness Training",£12.99,44.0,44.0
50,TRI-GRIP Cast Iron Olympic Disc Weight Plates EZ Bar Barbell Weights Fitness Gym,£20.99,45.0,45.0
51,"Barbell Weight Plates 1"" Brand New Cast Iron Home Gym Replacement Extra Weights",£25.20,46.0,46.0
52,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£115.57,47.0,47.0
53,"Weight Plates Set Pair Cast Iron 1"" Hole Disc Dumbbell Standard Barbell Weights",£18.99,48.0,48.0
54,2 x 20 Kg  Hi temp durable bumper plates 40kg total weight,£79.99,49.0,49.0
55,"Olympic Standard Weight Plates 2"" Inch Bar Home Gym Barbell Lifting Weights Disc",£8.99,50.0,50.0
56,Dumbbells Weight Plates 30mm 10kg Set (4х2.5kg) Home Gym Training Standard Bars,£19.95,51.0,51.0
57,"Cast Iron Weight Plates Set Pair 1"" Hole Disc Dumbbell standard Barbell Weights",£18.99,52.0,52.0
58,Adjustable Dumbbells 20Kg 30Kg 50Kg Cast Iron Weights Barbell Set Dumbbells New,£27.99,53.0,53.0
59,"Black Steel Olympic Weight Plates for 2"" bars. 2.5kg - 20Kg. UK stock.",£20.00,54.0,54.0
60,20kg weight plate,£30.00,55.0,55.0
61,20kg weight plate iron,£30.00,56.0,56.0
62,KK Weight Plates Set 1 Inch 2.5kg 5kg 10kg  Cast Iron Barbell plates ,£18.95,57.0,57.0
63,Olympic Rubber Weight Plate 10kg 15kg 20kg 25kg (PRICE FOR 1 PLATE),£34.99,58.0,58.0
64,Olympic Weight Plate Storage Bumper Plates 4 Horns 300kg Weight Capacity £89.99,£89.99,59.0,59.0
65,Les Mills Body Pump Set Smart Bar And Weight Plates All Genuine Les Mills,£350.00,60.0,60.0
66,2 X 20kg bumper plates - Domyos,£55.00,61.0,61.0
67,Rogue Colour Echo Bumper Weight Plates 2 x 20KG,£135.00,62.0,62.0
68,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£71.00,63.0,63.0
69,"10kg X2 Opti Vinyl Weight Plates 1"" Inch Hole Suitable for Standard Barbells",£25.00,64.0,64.0
70,"XN8 Standard Weight Plates 5-20KG Cast Iron Set Bumper 1"" Olympic Training Disc ",£19.99,65.0,65.0
71,BodyMax Olympic 2” - Rubber WeightPlates 20kg Pair (40kg Total),£60.00,66.0,66.0
72,Men's Health 37cm Anti-Roll Rubber Weight Plates - 2 x 10kg,£55.99,67.0,67.0
73,RON JUDGE 2x 10kg Barbell Cast Iron 1Inch Plates,£35.00,68.0,68.0
74,2 x 10kg Body Sculpture Cast Iron Weight Plates,£35.00,69.0,69.0
75,Olympic Polygonal Hex Weight Plate Tri Grip Plates Rubber Coated Barbell Weights,£13.99,70.0,70.0
76,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£87.00,71.0,71.0
77,Olympic Rubber Weight Plates 5kg - 25kg 2 Inch Bumper Pairs Sets Gym Crossfit,£100.99,72.0,72.0
78,20 KGS OF WEIDER 'ONE-INCH' WEIGHT PLATES,£35.00,73.0,73.0
79,Force USA Premium Rubber 20kg Olympic Tri Grip Weight Plate Set Pair New & Boxed,£59.99,74.0,74.0
80,Set Of York Weights - 4 x 5KG Plates - 20KG Dumbbells & Bar Liverpool Pickup,£69.99,75.0,75.0
81,4 x 5KG One Inch Iron Weight Plates,£15.00,76.0,76.0
82,Body power 20kg weight plates olympic lifting. Good condition ,£40.00,77.0,77.0
83,"Cast Iron 2"" Olympic Weight Plates TRI-GRIP 1.25KG - 25KG",£18.95,78.0,78.0
84,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£92.00,79.0,79.0
85,CLEARANCE | Rubber Olympic Tri-Grip Weight Plates | Pairs and Full Sets,£39.99,80.0,80.0
86,"Weights Plates, Tri -weights Gym Equipment 10 X 20 KG PLATES  200KG Total !!",£155.00,81.0,81.0
87,20kg Body Pump Barbell Weight Plates Set Home Strength Training Workout Rubber,£69.99,82.0,82.0
88,Tri-Grip Dumbbell Olympic Weight Lifting Plates Fitnes Home Gym Barbell Plate 2″,£32.95,83.0,83.0
89,PRO FITNESS Olympic Rubber Coated Hex Weight Plates 1 x 20KG (2 inch),£45.00,84.0,84.0
90,EVERLAST 20kg Rubber Weight Set (Weights only),£31.99,85.0,85.0
91,Olympic Weight Plates 2 X 25kg 1 X 20kg,£60.00,86.0,86.0
92,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£82.00,87.0,87.0
93,York 2 x 20kg Black Cast Iron Standard Weight Plates 1Inch Discs,£99.99,88.0,88.0
94,Mirafit 20kg Coloured Crumb Rubber Olympic Bumper Plates - x2,£70.00,89.0,89.0
95,2 x 20KG olympus chrome  plates 1inch fitment ,£85.00,90.0,90.0
96,"Unlocked Fitness Bumper Weight Plates Set (5kg, 10kg, 15kg, 25kg Pairs)",£140.00,91.0,91.0
97,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£69.00,92.0,92.0
98,2 x 20kg 2” Mirafit Olympic Bumper Plates,£80.00,93.0,93.0
99,"Power Gym 10kg Weight plate, sold as single ",£0.99,94.0,94.0
100,"Power Gym 15kg Weight plate, sold as single ",£0.99,95.0,95.0
101,"Power Gym 20kg Weight plate, sold as single ",£0.99,96.0,96.0
102,"Barbell And Dumbbell Weight Set - 2.5kg, 5kg, 10kg, 20kg - Total 150kg",£85.00,97.0,97.0
103,Weight plates 2 x 20 Kilo plates 1 inch hole ,£30.00,98.0,98.0
104,weight plates 2 X 20 kilos ,£30.00,99.0,99.0
105,Jungeling Cast Iron Weight Plate 2x20kg ,£70.00,100.0,100.0
106,"Mirafit 1 x 20kg 2"" Olympic Crumb Rubber Bumper Plate Weight Lifting Gym #344",£39.99,101.0,101.0
